Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
Meta -2,-3,-3,-3,-2,-2,-2,-1,-1,0,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,-2,-2,-2,-2,-1,-1,-1,0,0,0,1,-3,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,2,2,-1,0,0,0,0,1,1,1,1,2,2,2,3,0,0,1,1,1,1,2,2,2,2,3,3,3,1,2,3,3,3
Meta -3,-3,-2,0,-2,-1,0,-1,0,0,-3,-2,-1,0,-3,-2,-1,0,-2,-1,0,-1,0,1,-3,-2,-1,0,-2,-1,0,-1,0,1,2,-1,-2,-1,0,-2,-1,0,1,-3,-2,-1,0,1,2,0,1,2,1,2,0,-1,0,1,2,-1,0,1,2,0,1,2,2,0,1,0,1,2,3,0,1,2,3,1,2,3,1,2,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,2,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,0,0,2,0,1,0,1,1,1,2,1,1,4,58,27,3,2,27,7,1,2,1,0,1,3,1,3,30,13,0,12,0,0,0,0,0,0,0,3,0,0,1,0,0,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,32,8,0,3,17,3,1,10,0,3,30,16,9,51,446,83,25,85,5,0,0,0,0,0,1,29,6,0,0,2,12,118,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,1,0,10,4,1,4,103,19,10,39,0,1,1,2,3,2,14,92,41,1,0,5,128,1291,116,4,32,92,10,2,3,0,1,35,10,0,0,17,103,7,1,5,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,6,108,14,1,10,28,1,1,0,1,2,81,24,1,1,83,485,54,2,29,35,0,4,2,8,24,7,1,2,8,36,1,0,0,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,1,3,0,0,0,0,1,13,5,0,0,6,34,5,3,5,7,1,10,2,11,18,8,0,10,28,63,3,1,1,2,1,1,0,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1
