Meta -1,-3,-3,-3,-3,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3
Meta -2,-2,-1,0,1,-3,-2,-1,0,1,-3,-2,-1,0,1,-3,-2,-1,0,1,2,3,-3,-1,0,1,2,3,0,1,2,3,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-2,2,0,1,1,3,98,33,13,0,0,5,44,17,0,0,0,1,19,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-1,0,1,0,0,1,44,27,6,0,1,64,526,105,1,0,4,39,118,4,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,5,5,2,1,0,9,124,40,2,1,5,134,1474,153,3,0,0,3,32,147,14,0,2,3,3,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,4,1,134,33,4,0,0,2,130,682,71,0,7,28,57,1,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,1,0,10,52,8,1,17,40,121,4,2,2,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,1,0,0,2,3
