Meta -1,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Meta -2,-3,-3,-2,-1,0,1,-3,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,-1,0,0,0,0,1,1,1,1,1,2,2,2,2,3,0,0,1,1,1,1,2,2,2,2,3,3,1,2,2,2,3,3,3
Meta -3,-3,-1,-1,-1,0,1,-3,-2,-1,0,1,-3,-2,-1,0,-2,-1,0,-2,0,-3,-2,-1,0,-2,-1,0,-2,-1,0,1,-2,-1,0,-2,-1,0,-2,-1,0,1,2,0,1,2,0,1,2,-1,-1,0,1,2,-1,0,1,2,3,0,1,2,3,3,0,1,-1,0,1,2,0,1,2,3,2,3,0,0,1,2,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,0,1,2,1,1,0,0,2,1,0,3,31,13,3,6,14,3,0,4,0,3,3,2,0,27,6,1,1,8,0,1,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,1,1,0,0,1,0,18,9,1,2,15,5,1,6,2,22,13,5,31,357,75,1,21,70,4,1,1,0,0,18,8,0,5,98,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,1,1,3,6,0,11,76,13,0,4,26,0,0,4,1,10,79,21,5,102,1112,103,3,35,72,11,1,2,1,0,1,30,9,0,0,8,78,7,0,4,5,4,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,1,93,14,1,3,18,3,0,1,0,1,2,60,15,1,1,63,351,43,1,2,20,27,3,1,6,1,0,8,13,5,1,7,28,0,2,2,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,1,1,17,0,0,0,7,29,2,0,1,1,5,0,0,3,0,0,10,21,1,2,24,55,4,3,1,0,1,2,2,0,0,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,2,0,0,0,2,1,1,0,2,2,0
