Meta -1,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3
Meta -2,-3,-2,-1,0,-3,-2,-1,0,-2,-1,0,1,-3,-2,-1,0,1,2,-1,0,1,2,3,0,1,2,3,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,3,2,0,1,0,2,1,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,3,1,1,5,92,36,4,5,46,12,0,0,0,3,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,3,41,23,11,58,580,115,0,0,0,36,137,5,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,2,3,2,15,126,49,1,1,7,148,1544,135,5,0,46,127,11,0,0,3,3,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,129,39,1,1,108,623,66,0,6,40,47,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,19,45,15,1,12,37,104,4,1,1,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,1,3
