Meta -1,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4
Meta -2,-3,-2,-1,0,-3,-2,-1,0,-3,-2,-1,0,2,-3,-2,-1,0,1,2,-1,0,1,2,-1,0,1,2,3,0,1,2,3,4,0,4
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,5,2,1,1,0,1,4,0,0,1,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,2,1,2,8,80,40,8,0,7,45,15,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,1,0,1,1,0,48,22,4,3,59,601,96,1,1,2,27,115,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,7,1,1,0,7,112,34,0,0,7,118,1622,129,8,0,41,109,7,0,4,1,5,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,108,22,2,1,78,590,81,1,5,27,65,1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20,3,0,0,15,49,11,0,15,45,165,13,1,2,3,7,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,2,0,0,0,1,3,0,4,2,1,9,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
