Meta -1,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Meta -2,-1,-1,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-2,-2,-1,-1,-1,0,0,0,1,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,1,1,1,2,-1,0,0,0,0,1,1,1,2,2,2,2,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,-1,0,1,2,3,3,3
Meta -3,-1,0,-1,-3,-2,-1,0,-2,-1,0,-1,0,-3,-2,-1,0,-2,-1,0,-1,0,1,1,-2,-1,0,-2,-1,0,1,-2,-1,0,1,2,0,1,2,2,-1,-1,0,1,2,0,1,2,0,1,2,3,-1,0,1,-1,0,1,2,0,1,2,3,0,1,2,3,0,0,1,2,-1,1,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,2,1,2,1,75,30,7,5,14,13,1,7,0,6,0,2,1,23,4,2,15,0,0,0,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,1,1,37,2,1,3,13,3,0,2,0,27,14,0,32,358,80,22,75,2,0,0,0,0,2,21,8,1,0,12,114,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,0,1,1,8,5,0,8,87,14,8,38,0,1,1,2,1,11,83,37,0,4,115,1285,149,4,36,121,12,4,0,1,35,10,0,26,122,5,1,5,8,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,4,134,13,0,10,27,2,1,0,4,105,27,0,102,519,68,3,32,39,3,1,3,0,1,6,30,4,4,7,40,1,1,0,0,2,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,2,0,0,3,0,0,1,0,11,2,1,7,44,4,0,4,5,0,0,14,3,0,8,25,5,12,30,73,3,0,1,2,1,0,1,1,2,1,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,2,0
