Meta -1,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Meta -2,-3,-3,-2,-1,0,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,1,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,2,-2,0,0,0,0,1,1,1,1,1,2,2,2,2,3,-1,-1,0,0,0,1,1,1,2,2,2,2,2,3,3,3,1,1,2,2,3,3,3
Meta -3,-3,-1,-2,-1,0,-3,-2,-1,0,-3,-2,-1,0,-2,-1,0,-1,0,2,-3,-2,-1,0,-2,-1,0,1,-2,-1,0,1,1,-2,-1,0,-2,-1,0,-2,-1,0,1,2,0,1,2,-1,0,1,2,-2,-1,0,1,2,-2,0,1,2,3,-1,0,1,2,2,-1,0,-1,0,1,0,1,2,-1,0,1,2,3,1,2,3,0,1,0,1,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,0,3,1,1,1,2,1,1,3,31,11,8,3,8,6,2,8,0,0,3,2,2,3,21,3,0,0,4,11,1,0,0,0,0,0,3,2,0,0,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,1,0,0,1,20,4,1,3,16,10,3,2,1,1,20,25,3,38,331,68,0,3,10,72,4,1,0,3,1,0,17,4,0,11,96,4,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,1,0,3,2,1,7,83,17,1,1,7,28,0,0,1,1,2,6,81,29,4,104,1128,99,6,28,74,6,1,1,2,2,0,1,34,7,0,0,8,74,9,0,0,1,5,3,0,1,0,0,2,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,89,5,0,9,13,2,0,0,0,1,1,5,47,14,0,1,53,379,41,1,1,3,9,40,1,1,0,1,4,0,6,11,1,0,4,7,32,1,0,0,0,0,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,15,0,0,3,1,0,0,0,0,0,0,0,13,3,1,0,3,23,3,0,0,1,4,1,0,0,1,1,8,4,8,17,4,1,9,22,49,4,1,1,3,0,1,0,1,0,1,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
