Meta -1,-3,-3,-3,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3
Meta -2,-2,-1,0,-3,-2,-1,0,1,-3,-2,-1,0,1,-3,-2,-1,0,1,2,3,-3,-1,0,1,2,3,0,1,2,3,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,2,0,1,2,67,26,11,0,0,5,38,14,0,0,0,1,16,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-1,0,1,0,1,35,25,5,0,1,53,402,81,1,0,4,33,92,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
0,0,1,0,0,4,5,2,1,0,8,94,35,2,1,4,104,1202,125,3,0,0,2,26,123,12,0,2,1,3,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,4,1,108,28,3,0,0,2,108,529,55,0,7,24,43,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,1,0,7,39,7,1,15,29,100,3,1,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,2,3
