Meta -1,-3,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3
Meta -2,-3,-2,-1,0,1,-3,-2,-1,0,-2,-1,0,-2,-1,0,1,2,-1,0,1,2,3,0,1,2,3,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,5,0,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-2,1,1,2,1,1,3,50,23,4,8,33,10,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,3,28,22,7,42,463,96,2,26,104,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,5,1,10,100,30,5,110,1326,118,4,0,40,93,14,0,1,3,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,109,24,1,1,78,459,52,1,7,26,36,4,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,18,38,7,0,3,32,85,4,0,5,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,2,0,2,2,4
